Player,Tm,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
229,13,9,0,15.833333333333334,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,-5.0,3.5,0
371,20,10,1,45.25,2.0,12.0,0.167,0.0,8.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,5.0,1.0,0.0,1.0,4.0,6.0,2.0,2.9,0
184,9,13,1,12.066666666666666,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.767805115408609,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,2.2,0
384,13,9,0,22.766666666666666,3.0,6.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,9.0,2.0,2.0,0
180,13,9,0,28.733333333333334,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.767805115408609,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,-5.0,1.1,0
470,9,13,1,8.566666666666666,0.0,0.0,0.4591329486142762,0.0,0.0,0.3319796870232335,0.0,0.0,0.767805115408609,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.9,0
263,20,10,1,12.883333333333333,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.767805115408609,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,-3.0,0.2,0
63,20,10,1,2.25,0.0,0.0,0.4591329486142762,0.0,0.0,0.3319796870232335,0.0,0.0,0.767805115408609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0
93,20,10,1,0.1,0.0,0.0,0.4591329486142762,0.0,0.0,0.3319796870232335,0.0,0.0,0.767805115408609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,9,13,1,20.25,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.767805115408609,0.0,5.0,5.0,1.0,0.0,0.0,2.0,4.0,5.0,-10.0,-0.5,0
193,9,13,1,2.65,0.0,0.0,0.4591329486142762,0.0,0.0,0.3319796870232335,0.0,0.0,0.767805115408609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0
516,10,20,0,21.6,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.767805115408609,0.0,6.0,6.0,0.0,0.0,1.0,4.0,1.0,3.0,-4.0,-2.7,0
252,13,9,0,11.933333333333334,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.767805115408609,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,-4.0,-2.9,0
559,26,6,1,29.683333333333334,15.0,21.0,0.714,1.0,2.0,0.5,9.0,11.0,0.818,1.0,14.0,15.0,1.0,1.0,3.0,0.0,4.0,40.0,31.0,37.6,1
554,22,1,1,41.4,13.0,24.0,0.542,7.0,9.0,0.778,7.0,8.0,0.875,0.0,2.0,2.0,6.0,2.0,1.0,1.0,5.0,40.0,3.0,32.5,1
135,25,23,0,37.416666666666664,12.0,17.0,0.706,1.0,2.0,0.5,4.0,9.0,0.444,2.0,4.0,6.0,9.0,2.0,1.0,1.0,2.0,29.0,9.0,29.7,1
186,16,29,1,26.75,16.0,26.0,0.615,1.0,3.0,0.333,4.0,7.0,0.571,2.0,12.0,14.0,5.0,0.0,0.0,2.0,4.0,37.0,10.0,28.9,1
563,28,12,1,28.666666666666668,7.0,7.0,1.0,2.0,2.0,1.0,6.0,8.0,0.75,2.0,7.0,9.0,4.0,2.0,4.0,1.0,5.0,22.0,13.0,27.2,1
216,14,18,1,28.683333333333334,13.0,20.0,0.65,2.0,6.0,0.333,7.0,8.0,0.875,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,35.0,0.0,27.0,1
432,3,8,1,32.583333333333336,11.0,18.0,0.611,4.0,6.0,0.667,2.0,2.0,1.0,4.0,10.0,14.0,2.0,1.0,0.0,1.0,2.0,28.0,8.0,26.2,1
31,17,24,1,39.25,14.0,28.0,0.5,5.0,10.0,0.5,8.0,8.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,4.0,4.0,41.0,9.0,25.3,1
496,27,0,1,31.883333333333333,9.0,14.0,0.643,0.0,0.0,0.3319796870232335,4.0,4.0,1.0,0.0,6.0,6.0,9.0,1.0,2.0,1.0,4.0,22.0,9.0,23.7,1
580,18,14,0,33.46666666666667,10.0,21.0,0.476,0.0,0.0,0.3319796870232335,7.0,12.0,0.583,5.0,4.0,9.0,5.0,5.0,0.0,3.0,2.0,27.0,0.0,23.7,1
558,22,1,1,42.2,13.0,26.0,0.5,5.0,13.0,0.385,3.0,6.0,0.5,1.0,6.0,7.0,3.0,1.0,0.0,2.0,1.0,34.0,-2.0,23.0,1
471,27,0,1,29.966666666666665,9.0,12.0,0.75,2.0,4.0,0.5,5.0,5.0,1.0,2.0,6.0,8.0,5.0,2.0,0.0,4.0,5.0,25.0,0.0,22.9,1
268,24,17,0,27.766666666666666,10.0,14.0,0.714,4.0,7.0,0.571,5.0,6.0,0.833,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,29.0,-6.0,22.9,1
213,8,3,0,24.9,8.0,14.0,0.571,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,10.0,2.0,0.0,4.0,0.0,3.0,20.0,8.0,21.4,1
154,5,19,0,35.88333333333333,12.0,25.0,0.48,2.0,9.0,0.222,5.0,5.0,1.0,0.0,2.0,2.0,5.0,2.0,1.0,3.0,2.0,31.0,-14.0,21.3,1
439,15,21,0,36.416666666666664,9.0,19.0,0.474,4.0,8.0,0.5,6.0,7.0,0.857,2.0,7.0,9.0,4.0,1.0,1.0,3.0,4.0,28.0,12.0,21.3,1
440,19,5,1,37.5,9.0,17.0,0.529,4.0,9.0,0.444,2.0,4.0,0.5,2.0,12.0,14.0,2.0,3.0,1.0,4.0,0.0,24.0,10.0,21.0,1
234,0,27,0,34.81666666666667,7.0,13.0,0.538,0.0,2.0,0.0,8.0,10.0,0.8,0.0,7.0,7.0,8.0,1.0,1.0,3.0,1.0,22.0,-15.0,20.9,1
310,17,24,1,37.333333333333336,7.0,13.0,0.538,3.0,5.0,0.6,2.0,4.0,0.5,1.0,6.0,7.0,6.0,2.0,1.0,0.0,3.0,19.0,6.0,20.1,1
400,19,5,1,33.2,6.0,11.0,0.545,1.0,3.0,0.333,3.0,3.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,0.0,3.0,16.0,1.0,20.0,1
128,15,21,0,34.766666666666666,7.0,15.0,0.467,2.0,6.0,0.333,0.0,0.0,0.767805115408609,2.0,4.0,6.0,12.0,2.0,1.0,1.0,4.0,16.0,2.0,19.4,1
362,28,12,1,33.483333333333334,8.0,13.0,0.615,4.0,7.0,0.571,0.0,0.0,0.767805115408609,2.0,4.0,6.0,5.0,0.0,0.0,1.0,0.0,20.0,19.0,19.2,1
402,4,2,1,30.85,6.0,11.0,0.545,3.0,6.0,0.5,3.0,4.0,0.75,2.0,9.0,11.0,4.0,1.0,0.0,1.0,1.0,18.0,7.0,18.8,1
144,1,22,0,35.416666666666664,7.0,20.0,0.35,4.0,13.0,0.308,7.0,7.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,25.0,-3.0,18.8,1
188,27,0,1,23.966666666666665,6.0,10.0,0.6,2.0,4.0,0.5,7.0,8.0,0.875,1.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,21.0,18.0,18.5,1
178,21,15,1,35.5,9.0,17.0,0.529,2.0,5.0,0.4,4.0,6.0,0.667,0.0,4.0,4.0,6.0,2.0,0.0,2.0,5.0,24.0,5.0,18.3,1
510,26,6,1,28.533333333333335,8.0,12.0,0.667,1.0,3.0,0.333,5.0,10.0,0.5,2.0,5.0,7.0,6.0,2.0,0.0,5.0,2.0,22.0,24.0,18.1,1
58,4,2,1,30.5,8.0,19.0,0.421,2.0,9.0,0.222,7.0,10.0,0.7,0.0,0.0,0.0,7.0,1.0,1.0,1.0,4.0,25.0,14.0,17.7,1
214,12,28,0,27.183333333333334,9.0,13.0,0.692,0.0,0.0,0.3319796870232335,1.0,1.0,1.0,3.0,4.0,7.0,3.0,0.0,1.0,2.0,0.0,19.0,-21.0,17.6,1
146,23,25,1,36.36666666666667,10.0,19.0,0.526,1.0,3.0,0.333,10.0,15.0,0.667,2.0,3.0,5.0,3.0,1.0,0.0,6.0,5.0,31.0,1.0,17.1,1
341,29,16,0,28.516666666666666,9.0,14.0,0.643,3.0,5.0,0.6,2.0,3.0,0.667,1.0,5.0,6.0,3.0,0.0,0.0,2.0,4.0,23.0,-15.0,17.1,1
454,21,15,1,35.38333333333333,7.0,17.0,0.412,1.0,3.0,0.333,9.0,12.0,0.75,0.0,11.0,11.0,1.0,1.0,1.0,2.0,1.0,24.0,-2.0,17.0,1
30,6,26,0,32.483333333333334,7.0,22.0,0.318,2.0,4.0,0.5,6.0,6.0,1.0,4.0,9.0,13.0,1.0,2.0,1.0,0.0,4.0,22.0,-24.0,16.7,1
260,1,22,0,36.233333333333334,9.0,18.0,0.5,2.0,4.0,0.5,5.0,6.0,0.833,0.0,6.0,6.0,4.0,0.0,0.0,2.0,4.0,25.0,0.0,16.6,1
390,3,8,1,33.766666666666666,7.0,12.0,0.583,0.0,3.0,0.0,7.0,7.0,1.0,2.0,4.0,6.0,1.0,0.0,3.0,3.0,3.0,21.0,-10.0,16.6,1
356,29,16,0,32.083333333333336,7.0,15.0,0.467,3.0,6.0,0.5,4.0,8.0,0.5,1.0,8.0,9.0,4.0,1.0,2.0,2.0,4.0,21.0,0.0,16.4,1
481,8,3,0,26.966666666666665,6.0,10.0,0.6,1.0,4.0,0.25,6.0,6.0,1.0,0.0,4.0,4.0,3.0,2.0,1.0,2.0,5.0,19.0,2.0,16.4,1
577,25,23,0,34.55,13.0,24.0,0.542,2.0,10.0,0.2,2.0,3.0,0.667,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,30.0,-6.0,16.1,1
84,14,18,1,22.216666666666665,5.0,5.0,1.0,0.0,0.0,0.3319796870232335,4.0,4.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,14.0,24.0,16.0,1
351,0,27,0,25.566666666666666,5.0,12.0,0.417,4.0,7.0,0.571,6.0,6.0,1.0,2.0,5.0,7.0,2.0,0.0,2.0,2.0,4.0,20.0,-11.0,15.7,1
177,5,19,0,35.93333333333333,8.0,18.0,0.444,4.0,8.0,0.5,2.0,5.0,0.4,0.0,8.0,8.0,3.0,3.0,1.0,3.0,3.0,22.0,0.0,15.4,1
446,0,27,0,29.75,8.0,12.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,18.0,-19.0,15.3,1
339,28,12,1,29.916666666666668,6.0,12.0,0.5,1.0,7.0,0.143,3.0,4.0,0.75,0.0,2.0,2.0,9.0,2.0,0.0,3.0,1.0,16.0,18.0,15.1,1
